Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),Depth,CSF-B (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca,Fe,Ni,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Ag,Ba,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
382,U1537,A,2,H,2,A,940,4.94,4.906,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98998,948,6726,4879,56,1702,535,1215,96,1174,62,74,278635,4779,XRF1,1,10/2/2019,13:39:26,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,960,4.96,4.926,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99007,802,7346,4860,91,1762,475,1092,166,1095,47,83,279356,4625,XRF1,1,10/2/2019,13:39:49,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,980,4.98,4.946,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99033,722,7937,5007,77,1645,486,1297,178,1310,83,81,278955,5432,XRF1,1,10/2/2019,13:40:13,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1000,5,4.966,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99255,873,9387,4863,28,1479,639,1407,112,1459,168,58,279191,5973,XRF1,1,10/2/2019,13:40:37,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1020,5.02,4.986,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99174,764,9330,4824,78,1511,626,1423,165,1395,96,117,276142,6150,XRF1,1,10/2/2019,13:41:01,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1040,5.04,5.006,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98831,653,6457,4874,90,1811,470,1131,68,1109,175,107,276461,5000,XRF1,1,10/2/2019,13:41:24,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1060,5.06,5.026,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98896,928,10491,4815,76,1397,699,1494,221,1671,68,100,276268,7254,XRF1,1,10/2/2019,13:41:48,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1080,5.08,5.046,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99178,720,8247,4761,100,1642,539,1323,119,1281,92,74,275792,5257,XRF1,1,10/2/2019,13:42:12,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1100,5.1,5.066,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99299,895,10094,5056,117,1502,667,1509,142,1432,131,109,275223,6001,XRF1,1,10/2/2019,13:42:35,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1120,5.12,5.086,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99094,609,9802,4940,29,1614,670,1457,144,1489,99,202,274676,6916,XRF1,1,10/2/2019,13:42:59,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1140,5.14,5.106,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98479,886,8413,4883,67,1468,654,1392,167,1364,107,82,273174,6181,XRF1,1,10/2/2019,13:43:23,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1160,5.16,5.126,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98433,665,9584,5056,83,1366,698,1626,199,1612,85,53,270958,6518,XRF1,1,10/2/2019,13:43:47,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1180,5.18,5.146,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98449,697,8329,5034,61,1535,592,1413,171,1289,98,49,271356,6307,XRF1,1,10/2/2019,13:44:10,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1200,5.2,5.166,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98594,677,7108,4938,94,1794,526,1065,137,1065,57,88,271924,4926,XRF1,1,10/2/2019,13:44:34,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1220,5.22,5.186,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98667,743,7585,4912,30,1621,536,1368,176,1265,96,122,273144,5226,XRF1,1,10/2/2019,13:44:58,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1240,5.24,5.206,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98522,866,7528,4809,56,1602,565,1378,118,1432,111,31,274751,5820,XRF1,1,10/2/2019,13:45:22,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1260,5.26,5.226,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98202,741,7909,4865,51,1439,657,1401,231,1428,60,62,276142,6028,XRF1,1,10/2/2019,13:45:45,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1280,5.28,5.246,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98100,708,8365,4792,88,1511,676,1362,152,1506,119,50,276621,5879,XRF1,1,10/2/2019,13:46:09,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1300,5.3,5.266,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,98356,734,9048,4884,83,1514,649,1545,129,1470,117,108,276817,6344,XRF1,1,10/2/2019,13:46:33,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1320,5.32,5.286,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,97626,727,9136,4873,82,1436,753,1372,142,1439,126,145,274685,6827,XRF1,1,10/2/2019,13:46:57,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1340,5.34,5.306,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,96912,873,9129,4745,70,1463,638,1338,149,1412,125,40,274651,6386,XRF1,1,10/2/2019,13:47:20,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1360,5.36,5.326,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,97484,755,9133,4818,97,1421,646,1339,139,1511,61,67,275848,6330,XRF1,1,10/2/2019,13:47:46,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1380,5.38,5.346,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,97432,866,7585,4726,98,1617,571,1275,115,1183,134,69,274377,4898,XRF1,1,10/2/2019,13:48:10,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1400,5.4,5.366,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,96609,747,5397,4797,60,1706,521,1091,160,1007,55,52,275435,4312,XRF1,1,10/2/2019,13:48:35,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1420,5.42,5.386,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99047,748,8741,4974,95,1627,638,1258,102,1247,119,126,281390,5648,XRF1,1,10/2/2019,13:49:01,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1440,5.44,5.406,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99934,741,9162,4933,65,1489,577,1446,170,1396,65,64,286737,6218,XRF1,1,10/2/2019,13:49:25,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1460,5.46,5.426,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,99911,796,10020,5076,68,1376,712,1521,182,1548,130,79,281123,6792,XRF1,1,10/2/2019,13:49:49,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,2,A,1480,5.48,5.446,44592452,SHLF9921831,50,0.75,10,15,10,12,Cu,100779,803,10103,5103,86,1599,665,1439,159,1526,122,42,276116,7059,XRF1,1,10/2/2019,13:50:12,LEVAY_B,11/1/2019 21:34,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,10,5.51,5.442,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,100243,754,10332,5001,54,1519,692,1538,183,1558,111,46,280729,6607,XRF1,1,10/2/2019,15:37:08,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,20,5.52,5.452,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,99779,888,10498,4881,83,1509,680,1528,159,1593,72,20,277353,7091,XRF1,1,10/2/2019,15:37:32,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
